city,city_ascii,lat,lng,country,«·≈”„,iso2,iso3,admin_name,capital,population,id
íAÔn el Hammam,'Ain el Hammam,36.5714,4.3097,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,20401,1012595495
AÔn Oussera,Ain Oussera,35.4489,2.9044,Algeria,«·Ã“«∆—,DZ,DZA,Djelfa,,101239,1012469007
íAÔn Roua,'Ain Roua,36.3344,5.1806,Algeria,«·Ã“«∆—,DZ,DZA,SÈtif,,11499,1012529757
AÔn Sefra,Ain Sefra,32.75,-0.5833,Algeria,«·Ã“«∆—,DZ,DZA,Naama,,63420,1012884513
AÔn Temouchent,Ain Temouchent,35.3044,-1.14,Algeria,«·Ã“«∆—,DZ,DZA,AÔn Temouchent,admin,,1012763655
AÔn ZaouÔa,Ain Zaouia,36.5483,3.8942,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,17320,1012695288
AÔt Bou Madhi,Ait Bou Madhi,36.5009,4.2,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,6113,1012471822
AÔt YaÔch,Ait Yaich,36.5811,4.3303,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,14439,1012677951
Akbou,Akbou,36.4667,4.5333,Algeria,«·Ã“«∆—,DZ,DZA,BejaÔa,,52282,1012950888
Algiers,Algiers,36.7764,3.0586,Algeria,«·Ã“«∆—,DZ,DZA,Alger,primary,3415811,1012973369
Amalou,Amalou,36.4778,4.6333,Algeria,«·Ã“«∆—,DZ,DZA,BejaÔa,,8602,1012045463
Amoucha,Amoucha,36.388,5.4108,Algeria,«·Ã“«∆—,DZ,DZA,SÈtif,,22767,1012766595
Annaba,Annaba,36.9,7.7667,Algeria,«·Ã“«∆—,DZ,DZA,Annaba,admin,257359,1012600001
Aomar,Aomar,36.5,3.7833,Algeria,«·Ã“«∆—,DZ,DZA,Bouira,,20532,1012376964
Arbaoun,Arbaoun,36.4667,5.65,Algeria,«·Ã“«∆—,DZ,DZA,SÈtif,,19383,1012971347
Arhribs,Arhribs,36.8022,4.3227,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,12474,1012696122
Azazga,Azazga,36.7453,4.3711,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,34683,1012087552
Azeffoun,Azeffoun,36.8961,4.4204,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,16847,1012290725
Azzaba,Azzaba,36.7333,7.1,Algeria,«·Ã“«∆—,DZ,DZA,Skikda,,56922,1012969588
Batna,Batna,35.55,6.1667,Algeria,«·Ã“«∆—,DZ,DZA,Batna,admin,290645,1012093229
BÈchar,Bechar,31.6333,-2.2,Algeria,«·Ã“«∆—,DZ,DZA,BÈchar,admin,165627,1012371820
Bechloul,Bechloul,36.3167,4.0667,Algeria,«·Ã“«∆—,DZ,DZA,Bouira,,11775,1012563877
BejaÔa,Bejaia,36.7511,5.0642,Algeria,«·Ã“«∆—,DZ,DZA,BejaÔa,admin,176139,1012140298
Ben Nasseur,Ben Nasseur,33.1107,6.441,Algeria,«·Ã“«∆—,DZ,DZA,Ouargla,,10330,1012048018
Ben NíChoud,Ben N'Choud,36.8624,3.8806,Algeria,«·Ã“«∆—,DZ,DZA,Boumerdes,,9985,1012044380
Beni AbbËs,Beni Abbes,30.08,-2.1,Algeria,«·Ã“«∆—,DZ,DZA,BÈchar,admin,10885,1012633792
Beni AÔssi,Beni Aissi,29.6,0.25,Algeria,«·Ã“«∆—,DZ,DZA,Adrar,,7628,1012574444
Beni Amrane,Beni Amrane,36.6686,3.5922,Algeria,«·Ã“«∆—,DZ,DZA,Boumerdes,,23621,1012420167
Beni Douala,Beni Douala,36.6167,4.0667,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,21551,1012742443
Beni Fouda,Beni Fouda,36.2861,5.6071,Algeria,«·Ã“«∆—,DZ,DZA,SÈtif,,17667,1012660842
Beni Ounif,Beni Ounif,32.05,-1.25,Algeria,«·Ã“«∆—,DZ,DZA,BÈchar,,5628,1012327989
Bir Ghbalou,Bir Ghbalou,36.2631,3.5866,Algeria,«·Ã“«∆—,DZ,DZA,MÈdÈa,,11016,1012249358
Biskra,Biskra,34.85,5.7333,Algeria,«·Ã“«∆—,DZ,DZA,Biskra,admin,204661,1012947247
Blida,Blida,36.4722,2.8333,Algeria,«·Ã“«∆—,DZ,DZA,Blida,admin,331779,1012045589
Boghni,Boghni,36.5437,3.9523,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,31263,1012740129
Bordj Bou Arreridj,Bordj Bou Arreridj,36.0667,4.7667,Algeria,«·Ã“«∆—,DZ,DZA,Bordj Bou ArrÈridj,admin,168346,1012016677
Bordj MenaÔel,Bordj Menaiel,36.7417,3.7231,Algeria,«·Ã“«∆—,DZ,DZA,Boumerdes,,64820,1012287430
Bordj Mokhtar,Bordj Mokhtar,21.3289,0.9542,Algeria,«·Ã“«∆—,DZ,DZA,Adrar,admin,16437,1012945794
Bordj Okhriss,Bordj Okhriss,36.0833,3.9667,Algeria,«·Ã“«∆—,DZ,DZA,Bouira,,10467,1012057188
Bou Nouh,Bou Nouh,36.5,3.9333,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,9731,1012718665
Bou Sa‚da,Bou Saada,35.2083,4.1739,Algeria,«·Ã“«∆—,DZ,DZA,Mísila,,111787,1012931222
Boudjima,Boudjima,36.814,4.1588,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,15628,1012379618
Boufarik,Boufarik,36.575,2.9097,Algeria,«·Ã“«∆—,DZ,DZA,Blida,,57162,1012512259
Bouira,Bouira,36.3783,3.8925,Algeria,«·Ã“«∆—,DZ,DZA,Bouira,admin,68545,1012006499
Boukhralfa,Boukhralfa,36.6144,5.0872,Algeria,«·Ã“«∆—,DZ,DZA,BejaÔa,,8766,1012066745
Boumerdes,Boumerdes,36.7594,3.4728,Algeria,«·Ã“«∆—,DZ,DZA,Boumerdes,admin,41685,1012627486
Charouine,Charouine,29.0167,-0.2667,Algeria,«·Ã“«∆—,DZ,DZA,Adrar,,11347,1012755999
Chlef,Chlef,36.1647,1.3317,Algeria,«·Ã“«∆—,DZ,DZA,Chlef,admin,155134,1012772239
