Cerritos,Cerritos,Cerritos,22.4275,-100.2783,Mexico,MX,MEX,San Luis Potos?,minor,14804,1484001904
Cerro Azul,Cerro Azul,Cerro Azul,21.2,-97.7331,Mexico,MX,MEX,Veracruz,minor,23573,1484720981
Chachahuantla,Chachahuantla,Chachahuantla,20.2756,-98.1503,Mexico,MX,MEX,Hidalgo,,20619,1484829941
Chalchihuit?n,Chalchihuitan,Chalchihuitan,16.9667,-92.65,Mexico,MX,MEX,Chiapas,,16803,1484099582
Chalco,Chalco,Chalco,19.2647,-98.8975,Mexico,MX,MEX,México,minor,310130,1484834149
Chalma,Chalma,Chalma,21.2167,-98.4,Mexico,MX,MEX,Veracruz,minor,13479,1484039198
Champot?n,Champoton,Champoton,19.35,-90.7167,Mexico,MX,MEX,Campeche,minor,26636,1484959684
Chanal,Chanal,Chanal,16.6489,-92.2214,Mexico,MX,MEX,Chiapas,minor,12181,1484260225
Chapa de Mota,Chapa de Mota,Chapa de Mota,19.8144,-99.5269,Mexico,MX,MEX,México,minor,21746,1484616953
Chapala,Chapala,Chapala,20.2933,-103.1897,Mexico,MX,MEX,Jalisco,minor,21596,1484011650
Chapantongo,Chapantongo,Chapantongo,20.2833,-99.4,Mexico,MX,MEX,Hidalgo,,11389,1484970395
Chapulhuac?n,Chapulhuacan,Chapulhuacan,21.1547,-98.9039,Mexico,MX,MEX,Hidalgo,,20577,1484747290
Chapultenango,Chapultenango,Chapultenango,17.3333,-93.1333,Mexico,MX,MEX,Chiapas,minor,7644,1484412113
Chavinda,Chavinda,Chavinda,20.0167,-102.45,Mexico,MX,MEX,Michoac?n de Ocampo,minor,10258,1484159886
Chemax,Chemax,Chemax,20.655,-87.9372,Mexico,MX,MEX,Yucat?n,,14885,1484867017
Cher?n,Cheran,Cheran,19.6833,-101.95,Mexico,MX,MEX,Michoac?n de Ocampo,minor,19081,1484573730
Chetumal,Chetumal,Chetumal,18.5036,-88.3053,Mexico,MX,MEX,Quintana Roo,admin,169028,1484338031
Chiapa de Corzo,Chiapa de Corzo,Chiapa de Corzo,16.7083,-93.0169,Mexico,MX,MEX,Chiapas,minor,45077,1484314420
Chiautla de Tapia,Chiautla de Tapia,Chiautla de Tapia,18.3,-98.6039,Mexico,MX,MEX,Puebla,,11776,1484573116
Chichihualco,Chichihualco,Chichihualco,17.655,-99.674,Mexico,MX,MEX,Guerrero,minor,10079,1484534707
Chichimila,Chichimila,Chichimila,20.6308,-88.2172,Mexico,MX,MEX,Yucat?n,,5528,1484055870
Chicoloapan,Chicoloapan,Chicoloapan,19.4167,-98.9,Mexico,MX,MEX,México,minor,175053,1484980825
Chicomuselo,Chicomuselo,Chicomuselo,15.7442,-92.2833,Mexico,MX,MEX,Chiapas,minor,7083,1484903099
Chiconcuac,Chiconcuac,Chiconcuac,19.55,-98.9,Mexico,MX,MEX,México,minor,19656,1484345092
Chiconquiaco,Chiconquiaco,Chiconquiaco,19.75,-96.8167,Mexico,MX,MEX,Veracruz,minor,14394,1484230887
Chicxulub Puerto,Chicxulub Puerto,Chicxulub Puerto,21.2939,-89.6083,Mexico,MX,MEX,Yucat?n,,5052,1484967062
Chihuahua,Chihuahua,Chihuahua,28.6353,-106.0889,Mexico,MX,MEX,Chihuahua,admin,878062,1484335603
Chilapa de ?lvarez,Chilapa de Alvarez,Chilapa de Alvarez,17.5944,-99.1778,Mexico,MX,MEX,Guerrero,minor,120790,1484562441
Chilcuautla,Chilcuautla,Chilcuautla,20.3333,-99.2333,Mexico,MX,MEX,Hidalgo,minor,15284,1484513510
Chilpancingo,Chilpancingo,Chilpancingo,17.55,-99.5,Mexico,MX,MEX,Guerrero,admin,182387,1484290575
Chimalhuac?n,Chimalhuacan,Chimalhuacan,19.4167,-98.9,Mexico,MX,MEX,México,minor,614453,1484504936
Chinampa de Gorostiza,Chinampa de Gorostiza,Chinampa de Gorostiza,21.3667,-97.7333,Mexico,MX,MEX,Veracruz,minor,16741,1484006654
Chiquilistl?n,Chiquilistlan,Chiquilistlan,20.0896,-103.8617,Mexico,MX,MEX,Jalisco,minor,6102,1484227601
Chocam?n,Chocaman,Chocaman,19.0122,-97.0328,Mexico,MX,MEX,Veracruz,minor,21102,1484659925
Choix,Choix,Choix,26.7061,-108.3219,Mexico,MX,MEX,Sinaloa,minor,9306,1484806011
Cholula de Rivadabia,Cholula de Rivadabia,Cholula de Rivadabia,19.0633,-98.3064,Mexico,MX,MEX,Puebla,,129032,1484237822
Churumuco de Morelos,Churumuco de Morelos,Churumuco de Morelos,18.6167,-101.6333,Mexico,MX,MEX,Michoac?n de Ocampo,minor,15455,1484004930
Ciénega de Flores,Cienega de Flores,Cienega de Flores,25.95,-100.1833,Mexico,MX,MEX,Nuevo Le?n,minor,14268,1484782533
Citlaltépec,Citlaltepec,Citlaltepec,21.3366,-97.8784,Mexico,MX,MEX,Veracruz,minor,12109,1484014771
Ciudad Acu?a,Ciudad Acuna,Ciudad Acuna,29.3242,-100.9317,Mexico,MX,MEX,Coahuila de Zaragoza,minor,160225,1484828397
Ciudad Altamirano,Ciudad Altamirano,Ciudad Altamirano,18.3583,-100.6667,Mexico,MX,MEX,Guerrero,minor,24533,1484274706
Ciudad Apodaca,Ciudad Apodaca,Ciudad Apodaca,25.7833,-100.1833,Mexico,MX,MEX,Nuevo Le?n,minor,523370,1484855080
Ciudad Ayala,Ciudad Ayala,Ciudad Ayala,18.7667,-98.9833,Mexico,MX,MEX,Morelos,minor,6777,1484927568
Ciudad Benito Ju?rez,Ciudad Benito Juarez,Ciudad Benito Juarez,25.65,-100.0833,Mexico,MX,MEX,Nuevo Le?n,minor,260683,1484140727
Ciudad Cerralvo,Ciudad Cerralvo,Ciudad Cerralvo,26.0899,-99.6147,Mexico,MX,MEX,Nuevo Le?n,minor,7169,1484627083
Ciudad Constituci?n,Ciudad Constitucion,Ciudad Constitucion,25.0322,-111.6703,Mexico,MX,MEX,Baja California Sur,minor,43805,1484811681
Ciudad Cuauhtémoc,Ciudad Cuauhtemoc,Ciudad Cuauhtemoc,22.1833,-97.8333,Mexico,MX,MEX,Veracruz,minor,57646,1484666501
Ciudad de Atlixco,Ciudad de Atlixco,Ciudad de Atlixco,18.9,-98.45,Mexico,MX,MEX,Puebla,minor,86690,1484268457
Ciudad de Huajuapam de Le?n,Ciudad de Huajuapam de Leon,Ciudad de Huajuapam de Leon,17.8097,-97.7764,Mexico,MX,MEX,Oaxaca,minor,45321,1484375272
Ciudad de Huitzuco,Ciudad de Huitzuco,Ciudad de Huitzuco,18.3,-99.35,Mexico,MX,MEX,Guerrero,minor,16025,1484912284
Ciudad del Carmen,Ciudad del Carmen,Ciudad del Carmen,18.6333,-91.8333,Mexico,MX,MEX,Campeche,minor,169466,1484192447
